,name,origin
659,Ciufo,Italian
660,Ciulla,Italian
661,Ciulla,Italian
662,Ciulla,Italian
663,Ciullo,Italian
664,Ciullo,Italian
665,Civello,Italian
666,Civiello,Italian
667,Civitarese,Italian
668,Civitello,Italian
669,Clarizio,Italian
670,Claro,Italian
671,Clementi,Italian
672,Clerici,Italian
673,Clerico,Italian
674,Coca,Italian
675,Cocca,Italian
676,Cocchi,Italian
677,Cocchiola,Italian
678,Cocco,Italian
679,Coco,Italian
680,Cocozza,Italian
681,Cocuzza,Italian
682,Coda,Italian
683,Codella,Italian
684,Cofone,Italian
685,Cofrancesco,Italian
686,Coglianese,Italian
687,Cogliano,Italian
688,Coia,Italian
689,Coiro,Italian
690,Colabella,Italian
691,Colacino,Italian
692,Colaianni,Italian
693,Colaizzi,Italian
694,Colaizzi,Italian
695,Colaluca,Italian
696,Colandrea,Italian
697,Colaneri,Italian
698,Colangelo,Italian
699,Colantoni,Italian
700,Consiglio,Italian
701,Console,Italian
702,Consoli,Italian
703,Consolo,Italian
704,Constantini,Italian
705,Constantino,Italian
706,Contarino,Italian
707,Conte,Italian
708,Contento,Italian
709,Contessa,Italian
710,Contessa,Italian
711,Conti,Italian
712,Contini,Italian
713,Contino,Italian
714,Conto,Italian
715,Contrino,Italian
716,Coppi,Italian
717,Coppolino,Italian
718,Corallo,Italian
719,Corazza,Italian
720,Corbello,Italian
721,Corbi,Italian
722,Corbo,Italian
723,Corcione,Italian
724,Corda,Italian
725,Corda,Italian
726,Cordano,Italian
727,Cordaro,Italian
728,Cordasco,Italian
729,Cordi,Italian
730,Cordisco,Italian
731,Cordone,Italian
732,Corella,Italian
733,Corelli,Italian
734,Corigliano,Italian
735,Cornacchia,Italian
736,Cornelia,Italian
737,Cornella,Italian
738,Cornetta,Italian
739,Corona,Italian
740,Corra,Italian
741,Corradetti,Italian
742,Corradi,Italian
743,Corradini,Italian
744,Corradino,Italian
745,Corrado,Italian
746,Corrao,Italian
747,Correale,Italian
748,Corrente,Italian
749,Correnti,Italian
750,Cresto,Italian
751,Cretella,Italian
752,Cribari,Italian
753,Crifasi,Italian
754,Crimi,Italian
755,Crisafi,Italian
756,Criscione,Italian
757,Crisco,Italian
758,Criscuolo,Italian
759,Crispi,Italian
760,Cristello,Italian
761,Cristiano,Italian
762,Cristofaro,Italian
763,Critelli,Italian
764,Crivelli,Italian
765,Crivello,Italian
766,Crocco,Italian
767,Croce,Italian
768,Crocetti,Italian
769,Croci,Italian
770,Crognale,Italian
771,Crovo,Italian
772,Crudele,Italian
773,Crudo,Italian
774,Cuccaro,Italian
775,Cucchi,Italian
776,Cucci,Italian
777,Cuccia,Italian
778,Cuccia,Italian
779,Cuccio,Italian
780,Cucco,Italian
781,Cucinotta,Italian
782,Cugini,Italian
783,Cuneo,Italian
784,Cunico,Italian
785,Cuoco,Italian
786,Cuomo,Italian
787,Cuozzo,Italian
788,Cupo,Italian
789,Cura,Italian
790,Curci,Italian
791,Curcuru,Italian
